open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646445600000,38972.20,39043.30,38866.10,38894.00,3219.958,1646447399999,125438068.52557,33703,1658.143,64598040.20400,0
1646447400000,38894.10,38945.70,38821.50,38851.50,2139.437,1646449199999,83191502.34131,26538,1116.804,43431517.77810,0
1646449200000,38851.40,39050.00,38815.00,39007.80,3079.179,1646450999999,119956321.96474,38233,1735.591,67620191.19904,0
1646451000000,39007.90,39100.00,38989.20,39029.10,2495.507,1646452799999,97436227.16401,35397,1242.187,48503932.27411,0
1646452800000,39029.10,39087.80,38858.00,38872.40,3386.237,1646454599999,131871766.41913,40897,1493.722,58172966.61520,0
1646454600000,38873.90,38943.00,38702.20,38846.30,6084.670,1646456399999,236226613.34005,63551,2662.698,103407172.43275,0
1646456400000,38846.30,38934.70,38780.50,38897.00,2922.033,1646458199999,113573685.68533,33253,1640.350,63766383.80091,0
1646458200000,38897.00,39000.00,38848.20,38994.10,2396.896,1646459999999,93288392.96762,29279,1355.894,52782299.73862,0
1646460000000,38993.60,39087.20,38925.80,39012.80,4228.073,1646461799999,164945987.00829,45179,2338.150,91229613.15989,0
1646461800000,39012.80,39057.60,38914.10,38972.00,2197.271,1646463599999,85646683.44520,29100,1104.776,43066749.99540,0
1646463600000,38972.10,39124.70,38933.00,39064.50,3458.447,1646465399999,135047812.53457,39924,1930.156,75382022.26217,0
1646465400000,39066.50,39109.90,38961.60,39003.90,2996.714,1646467199999,116971573.08639,35360,1331.184,51970265.31390,0
1646467200000,39004.00,39040.00,38928.20,38968.60,2564.999,1646468999999,99988814.68710,30777,1125.877,43891723.87850,0
1646469000000,38968.70,39189.20,38965.20,39067.50,4590.144,1646470799999,179442536.58834,50187,2541.644,99363789.57608,0
1646470800000,39066.40,39098.70,38948.30,39050.90,3778.687,1646472599999,147412581.40407,41501,1674.940,65346764.69620,0
1646472600000,39051.00,39055.00,38967.50,39022.70,1795.350,1646474399999,70027202.05480,25143,849.623,33139651.68120,0
1646474400000,39022.70,39149.80,38754.50,38923.60,11352.937,1646476199999,442465718.42692,107525,5105.014,199073602.29669,0
1646476200000,38923.50,39152.60,38870.30,39118.20,4236.252,1646477999999,165390192.77492,44979,2359.729,92147245.64586,0
1646478000000,39118.20,39282.00,39063.40,39140.50,7010.074,1646479799999,274607998.02512,73620,3826.821,149938879.85890,0
1646479800000,39140.40,39146.50,39039.10,39106.10,3554.058,1646481599999,138901985.81895,37235,1540.824,60220930.30840,0
1646481600000,39106.50,39247.80,39060.80,39217.80,4142.183,1646483399999,162241480.69245,54691,2196.253,86029902.86105,0
1646483400000,39217.80,39350.00,39022.00,39054.70,6294.849,1646485199999,246526459.85198,69921,3070.591,120319141.56477,0
1646485200000,39054.80,39085.30,38931.00,38994.30,5227.406,1646486999999,203841674.87271,60196,2531.640,98727428.91340,0
1646487000000,38994.30,39077.60,38866.10,38986.70,5421.650,1646488799999,211270626.12495,57789,2814.302,109687727.21074,0
1646488800000,38986.60,39137.60,38903.00,39032.10,4605.549,1646490599999,179728643.01793,52389,2395.253,93479515.19498,0
1646490600000,39032.10,39152.60,39006.40,39100.40,2522.557,1646492399999,98618161.60731,32410,1219.233,47669226.16751,0
1646492400000,39100.40,39171.70,39040.20,39118.70,2740.289,1646494199999,107171357.18198,35748,1233.675,48257199.94092,0
